sample_id,status,verdict,failure_mode,note
materials_2606.02085_page6_chart1,extracted,correct,none,6 series vs pressure match; Drude-like peaks at correct positions
materials_2606.04219_page12_chart1,extracted,wrong,panel-merge,green continuous curve traces boundary of scatter panel; proper scatter-vs-violin separation not achieved
materials_2606.02399_page2_chart2,extracted,partial,missing-series,thr.em and thr.abs present; expt.em (black markers) still not cleanly separated as distinct series
materials_2606.04958_page6_chart2,extracted,correct,none,4 noisy spectra match
materials_2606.05128_page6_chart2,skipped,,,
materials_2606.00785_page15_chart2,extracted,correct,none,4 decreasing scatter series (CaMg2Bi2/YbMg2Bi2 poly/single) match
materials_2606.03405_page10_chart1,extracted,correct,none,step-drop QA PIMD single trajectory matches
materials_2606.03016_page16_chart1,extracted,correct,none,5 decay curves (a-f) extracted and match well
materials_2606.00223_page6_chart5,extracted,correct,none,3 overlapping decay curves match
materials_2606.00403_page8_chart6,extracted,correct,none,3 RDF curves at 3200K match
astro_2606.03881_page7_chart1,extracted,partial,missing-series,only 3 of 7 series captured (Fermi 4FGL HAWC LHAASO-2024); Fermi-LAT Aharonian ARGO LHAASO-2021 still absent
astro_2606.04793_page6_chart1,extracted,partial,extra-noise,3 power-law fit lines sampled as series alongside scatter cluster; fit lines are extra-noise relative to data series
astro_2606.02593_page3_chart2,skipped,,,
astro_2606.04309_page9_chart1,extracted,correct,none,3-series log-log scatter clusters match; non-detection error bars captured
astro_2606.02711_page42_chart1,extracted,partial,missing-series,uRMS=0 and uRMS=4 km/s series present; uRMS=8 km/s series absent
astro_2606.02726_page9_chart1,extracted,partial,missing-series,two power-law decay series present; flat 10^-11 Msun series suppressed by geometric-line filter (false positive); floor artifact gone but real flat series lost
astro_2606.04140_page9_chart1,extracted,partial,extra-noise,particle flux curves mostly correct; short horizontal reference segments still sampled as extra series at bottom
astro_2606.00221_page11_chart2,extracted,partial,missing-series,scatter clusters present but many diamond/triangle markers still missed; sparse extraction
astro_2606.04894_page7_chart2,extracted,correct,none,clean power-law single series; ref lines not sampled
astro_2606.02711_page53_chart4,extracted,correct,none,shock-tube 6-series (Nx levels + Analytical) match
astro_2606.03707_page18_chart1,skipped,,,
astro_2606.02698_page7_chart4,extracted,partial,extra-noise,SED spectral shape present but 16-model band over-sampled into many colored series
astro_2606.00221_page20_chart4,extracted,correct,none,Sersic profile 2 series match; vline not sampled
astro_2606.03522_page7_chart4,extracted,correct,none,size-luminosity scatter 5 series match
astro_2606.02732_page4_chart4,extracted,correct,none,dense MB-M scatter single series matches cloud shape
astro_2606.02318_page9_chart2,extracted,correct,none,4 posterior PDF bell curves match (peaks and widths correct)
astro_2606.02593_page3_chart1,skipped,,,
astro_2606.00493_page16_chart1,extracted,correct,none,m/M peaked curve upper+lower branches match
astro_2606.02700_page18_chart1,extracted,correct,none,noisy decay single series match
astro_2606.00209_page2_chart2,skipped,,,
astro_2606.00218_page12_chart3,extracted,partial,extra-noise,0/1 binary strip partially captured; dashed connector lines still add mid-range spurious points; many series fragmented
astro_2606.03342_page10_chart1,extracted,correct,none,4 mass-function series match
astro_2606.05146_page19_chart3,extracted,partial,missing-series,power-law fit line captured but discrete marker observations absent
astro_2606.00258_page13_chart3,extracted,partial,missing-series,two series extracted but split oddly vs original single emission profile with continuum
astro_2606.04894_page17_chart1,extracted,correct,none,decreasing curve match; ref lines not sampled
astro_2606.02698_page8_chart12,extracted,correct,none,UVJ scatter 2 series (model track + data) match
astro_2606.04712_page24_chart1,extracted,partial,missing-series,extinction track series now partially extracted; J2220-2 scatter present; most other individual marker series still absent — improvement from wrong/missing-series
astro_2606.02413_page9_chart2,missing,,,
astro_2606.00258_page13_chart1,extracted,correct,none,P-Cygni 2-series emission+continuum match
astro_2606.01087_page16_chart2,extracted,correct,none,5 model curves including spectral radius and Titarchuk match
